alamat,created_at,created_by_pengguna,detail_pekerjaan,email,hubungan_keluarga,id_jemaat,jenis_kelamin,jenis_pekerjaan,kategori,keuskupan,kota_perkawinan,nama_babtis,nama_keluarga,nama_lengkap,nik,no_kk,no_telepon,paroki,paroki_tujuan,pendidikan_terakhir,status_babtis,status_ekaristi,status_keanggotaan,status_kekatolikan,status_krisma,status_menikah,status_perkawinan,status_perkawinan_detail,tanggal_babtis,tanggal_komuni,tanggal_krisma,tanggal_lahir,tanggal_perkawinan,tempat_babtis,tempat_komuni,tempat_krisma,tempat_lahir,umur,updated_at,wilayah_rohani,wr_tujuan
"Jl. Diponegoro No. 789, Surabaya","Thu, 27 Nov 2025 11:07:56 GMT",1,,agatha.gunawan@student.sch.id,Anak,64,Perempuan,Pelajar,Remaja,,,Agatha Christina,Keluarga Gunawan,Agatha Christina Gunawan,3573021234567890,3573024567890123,08234567890,,Paroki Santo Mikael Jakarta,SMA,Sudah,Sudah,Pindah,Kelahiran,Belum,Belum Menikah,Belum,,"Fri, 15 Aug 2008 00:00:00 GMT","Sun, 08 May 2016 00:00:00 GMT",,"Tue, 22 Jul 2008 00:00:00 GMT",,Gereja Kelahiran Santa Perawan Maria Surabaya,Gereja Kelahiran Santa Perawan Maria Surabaya,,Surabaya,16,"Thu, 27 Nov 2025 11:07:56 GMT",ST. BONAVENTURA,ST. ALBERTUS AGUNG
"Jl. Gatot Subroto No. 123, Jakarta Selatan","Thu, 27 Nov 2025 11:06:14 GMT",1,Pengusaha,andreas.wijaya@gmail.com,Kepala Keluarga,60,Laki-laki,Bekerja,Dewasa,Keuskupan Agung Jakarta,Jakarta,Andreas,Keluarga Wijaya,Andreas Wijaya,3275011234567890,3275012345678901,08123456789,Paroki Santo Mikael,,S1,Sudah,Sudah,Menetap,Kelahiran,Sudah,Menikah,Sudah,Katolik,"Sun, 25 Sep 1988 00:00:00 GMT","Sun, 14 Apr 1996 00:00:00 GMT","Sun, 20 May 2001 00:00:00 GMT","Wed, 17 Aug 1988 00:00:00 GMT","Sat, 16 Jun 2012 00:00:00 GMT",Gereja Santo Mikael Jakarta,Gereja Santo Mikael Jakarta,Gereja Katedral Jakarta,Jakarta,37,"Thu, 27 Nov 2025 11:16:54 GMT",ST. ALBERTUS AGUNG,
"Jl. Sudirman No. 456, Jakarta Pusat","Thu, 27 Nov 2025 11:07:28 GMT",1,Dosen Universitas,xavier.tanaka@university.ac.id,Kepala Keluarga,63,Laki-laki,Bekerja,Lansia,Keuskupan Agung Semarang,Semarang,Fransiskus Xavier,Keluarga Tanaka,Fransiskus Xavier Tanaka,3171091234567890,3171098765432109,08567891234,Paroki Katedral Semarang,,S2,Sudah,Sudah,Menetap,Babtisan,Sudah,Menikah,Sudah,Sipil dan Gereja,"Sun, 24 Dec 1995 00:00:00 GMT","Sun, 02 Jun 1996 00:00:00 GMT","Sun, 25 May 1997 00:00:00 GMT","Tue, 03 Oct 1978 00:00:00 GMT","Sat, 20 Aug 2005 00:00:00 GMT",Gereja Blenduk Semarang,Gereja Katedral Jakarta,Gereja Katedral Jakarta,Semarang,47,"Thu, 27 Nov 2025 11:17:18 GMT",ST. IGNASIUS DARI LOYOLA,
"Jl. Gatot Subroto No. 123, Jakarta Selatan","Thu, 27 Nov 2025 11:06:38 GMT",1,Guru SD,theresia.wijaya@gmail.com,Istri,61,Perempuan,Bekerja,Dewasa,Keuskupan Agung Jakarta,Jakarta,Maria Theresia,Keluarga Wijaya,Maria Theresia Wijaya,3275011234567891,3275012345678901,08198765432,Paroki Santo Mikael,,S1,Sudah,Sudah,Aktif,Kelahiran,Sudah,Menikah,Sudah,Katolik,"Sun, 06 Jan 1991 00:00:00 GMT","Sun, 10 May 1998 00:00:00 GMT","Sun, 15 Jun 2003 00:00:00 GMT","Tue, 25 Dec 1990 00:00:00 GMT","Sat, 16 Jun 2012 00:00:00 GMT",Gereja Santo Yusuf Bandung,Gereja Santo Yusuf Bandung,Gereja Santo Petrus Bandung,Bandung,34,"Thu, 27 Nov 2025 11:17:51 GMT",STA. KATARINA DARI SIENA,
qqq,"Thu, 27 Nov 2025 11:20:23 GMT",1,,qqqq@gmail.com,Kepala Keluarga,65,Laki-laki,Bekerja,OMK,,,,QQ,qqq,098765434234,2456051685475,082298643547,,,SMA,Sudah,Sudah,Menetap,Kelahiran,Sudah,Sudah Menikah,Sudah,,,,,"Sat, 27 Nov 1999 00:00:00 GMT",,,,,qq,26,"Thu, 27 Nov 2025 11:24:31 GMT",ST. GREGORIUS AGUNG,
"Jl. Gatot Subroto No. 123, Jakarta Selatan","Thu, 27 Nov 2025 11:07:02 GMT",1,,,Anak,62,Laki-laki,Pelajar,Anak,,,Stefanus,Keluarga Wijaya,Stefanus Wijaya,3275011234567892,3275012345678901,,,,SD,Sudah,Belum,Aktif,Kelahiran,Belum,Belum Menikah,Belum,,"Sat, 18 Apr 2015 00:00:00 GMT",,,"Tue, 10 Mar 2015 00:00:00 GMT",,Gereja Santo Mikael Jakarta,,,Jakarta,9,"Thu, 27 Nov 2025 11:07:02 GMT",ST. ALBERTUS AGUNG,
"Jl. Perkawinan Test No. 55, Yogyakarta","Thu, 27 Nov 2025 11:38:18 GMT",1,Manager Marketing,nikah.test@example.com,Istri,67,Perempuan,Bekerja,Dewasa,Keuskupan Agung Semarang,Yogyakarta,Maria Magdalena,Keluarga Perkawinan Test,Test Perkawinan Lengkap,1111222233334444,9876543210987654,08111222333,Paroki Ganjuran,,S2,Sudah,Sudah,Aktif,Kelahiran,Sudah,Menikah,Sudah,Sipil dan Gereja,"Sat, 25 Apr 1992 00:00:00 GMT","Sun, 07 May 2000 00:00:00 GMT","Sun, 12 Jun 2005 00:00:00 GMT","Thu, 12 Mar 1992 00:00:00 GMT","Sat, 10 Oct 2015 00:00:00 GMT",Gereja Ganjuran Yogyakarta,Gereja Ganjuran Yogyakarta,Gereja Katedral Yogyakarta,Yogyakarta,32,"Thu, 27 Nov 2025 11:38:18 GMT",STA. BRIGITTA,
"Jl. Menetap No. 11, Solo","Thu, 27 Nov 2025 11:52:52 GMT",1,Petani,menetap@example.com,Kepala Keluarga,69,Laki-laki,Bekerja,Dewasa,Keuskupan Agung Semarang,Solo,Petrus,Keluarga Menetap,Test Status Menetap,2020202020202020,1010101010101010,08777888999,Paroki Solo,,SMA,Sudah,Sudah,Menetap,Kelahiran,Sudah,Menikah,Sudah,Katolik,"Sat, 02 Feb 1980 00:00:00 GMT","Sun, 15 May 1988 00:00:00 GMT","Sun, 20 Jun 1993 00:00:00 GMT","Tue, 01 Jan 1980 00:00:00 GMT","Sun, 25 Dec 2005 00:00:00 GMT",Gereja Solo,Gereja Solo,Gereja Solo,Solo,44,"Thu, 27 Nov 2025 11:52:52 GMT",ST. PIUS X,
"Jl. Meninggal No. 22, Surabaya","Thu, 27 Nov 2025 11:53:08 GMT",1,,,Kepala Keluarga,70,Perempuan,Tidak Bekerja,Lansia,Keuskupan Agung Surabaya,Surabaya,Maria,Keluarga Meninggal,Test Status Meninggal,4040404040404040,3030303030303030,,Paroki Surabaya,,SD,Sudah,Sudah,Meninggal,Kelahiran,Sudah,Menikah,Sudah,Katolik,"Sat, 10 Jun 1950 00:00:00 GMT","Sun, 13 Apr 1958 00:00:00 GMT","Sun, 26 May 1963 00:00:00 GMT","Fri, 05 May 1950 00:00:00 GMT","Sat, 15 Aug 1970 00:00:00 GMT",Gereja Surabaya,Gereja Surabaya,Gereja Surabaya,Surabaya,74,"Thu, 27 Nov 2025 11:53:08 GMT",STA. AGNES,
"Jl. Pindah Test No. 77, Malang","Thu, 27 Nov 2025 11:39:05 GMT",1,Web Developer,pindah.test@example.com,Anak,68,Laki-laki,Bekerja,OMK,,,Yohanes,Keluarga Pindah Test,Test Status Pindah,9999888877776666,5555666677778888,08444555666,,Paroki Santo Mikael Jakarta,S1,Sudah,Sudah,Pindah,Kelahiran,Sudah,Belum Menikah,Belum,,"Fri, 15 Sep 2000 00:00:00 GMT","Sun, 11 May 2008 00:00:00 GMT","Sun, 09 Jun 2013 00:00:00 GMT","Tue, 08 Aug 2000 00:00:00 GMT",,Gereja Ijen Malang,Gereja Ijen Malang,Gereja Katedral Malang,Malang,24,"Thu, 27 Nov 2025 11:39:05 GMT",ST. CORNELIUS,ST. ALBERTUS AGUNG
"Jl. Test No. 999, Surabaya","Thu, 27 Nov 2025 11:37:25 GMT",1,Software Engineer di PT ABC,testfix@example.com,Kepala Keluarga,66,Laki-laki,Bekerja,Dewasa,,,Petrus Paulus,Keluarga Test Fix,Test User Fix Input,6543210987654321,1234567890123456,08999888777,,,S1,Sudah,Sudah,Aktif,Kelahiran,Sudah,Belum Menikah,Belum,,"Thu, 15 Jun 1995 00:00:00 GMT","Sun, 20 Apr 2003 00:00:00 GMT","Sun, 18 May 2008 00:00:00 GMT","Sat, 20 May 1995 00:00:00 GMT",,Gereja Test Babtis Surabaya,Gereja Test Komuni Surabaya,Gereja Test Krisma Surabaya,Surabaya,29,"Thu, 27 Nov 2025 11:37:25 GMT",ST. THOMAS AQUINAS,
